tweet-id,username,date,text,like-count
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqzy7qmqr2c,fvca.bsky.social,2022-09-26,In #Coquitlam Municipal Council Candidate Zoe Royer would propose the following policies that they feel would make a significant difference to reduce our city's carbon emissions to fight #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqzyapnbb2q,fvca.bsky.social,2022-09-26,See #WhiteRock Council Candidate responses to our #ClimateChange Questionnaire here: https://fvclimateaction.org/whiterock-municipal-council-election-2022-climate-change-questionnaire/,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3lar3kyxsr22i,fvca.bsky.social,2022-09-25,In #Abbotsford Municipal Council Candidate David Evans would propose the following policies that they feel would make a significant difference to reduce our city's carbon emissions to fight #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3lar3kugajc24,fvca.bsky.social,2022-09-26,More responses from Chilliwack candidates here: https://fvclimateaction.org/chilliwack-municipal-council-election-2022-climate-change-questionnaire/,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3lar2ollxec24,fvca.bsky.social,2022-09-25,We really want our friends in the Fraser Valley to be informed so they can vote for Council Candidates who will act decisively on #climateChange  We are doing our best to raise awareness around what candidates would propose to do if elected.,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3lar2omhh5t2b,fvca.bsky.social,2022-09-25,In #Chilliwack Municipal Council Candidate Amber Price would propose the following policies that would help our city's most vulnerable who are more severely impacted by #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqubscf2t25,fvca.bsky.social,2022-10-04,"Just based on the results of our council candidate #climatechange questionnaire we feel reasonably comfortable highlighting some candidates in each city who are ""likely to take action on climate change if elected""  To other candidates, we did not hear from you.",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqtrsqze72b,fvca.bsky.social,2022-10-12,"""In #PortMoody Municipal Council Candidate Samantha Agtarap has already done the following in their own life to fight #climateChange",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqtrsxyis2h,fvca.bsky.social,2022-10-12,"""In #PortMoody Municipal Council Candidate Samantha Agtarap would propose the following policies that would help our city to ADAPT to #climateChange",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqtrvfcy225,fvca.bsky.social,2022-10-10,"Language warning: This video from Juice media sums up some of the frustration felt by people who want their inactive, unaware, delaying government leaders to act on climate change.  https://www.youtube.com/watch?v=1FqXTCvDLeo",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqtrsnttg24,fvca.bsky.social,2022-10-12,"UPDATED:  In #PortMoody we endorse the following candidates as being likely to take action on #ClimateChange if elected.  Meghan Lahti, Kyla Knowles, Dustin Chelen, Amy Lubik, and Samantha Agtarap  All the best! Looking forward to seeing action on climate!",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqsvxursr2t,fvca.bsky.social,2022-10-30,This Halloween.  Is anybody else thinking of talking to the parents who come about climate change and switching their heating and transport to cleaner electricity?  Maybe candy for the kids and a handout for the parents.,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqsvyey3z2w,fvca.bsky.social,2022-10-29,"A balanced, hopeful, worrying article on our #climateChange future. https://www.nytimes.com/interactive/2022/10/26/magazine/visualization-climate-change-future.html",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqvlgtivu2t,fvca.bsky.social,2022-10-04,"In #PittMeadows we endorse the following candidates as being likely to take action on #ClimateChange if elected. Tracy Elke, Bryce Cassidy, Robert (Bob) Meachen  Good Luck!",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqvljiysc2q,fvca.bsky.social,2022-09-28,In #Surrey Municipal Council Candidate Mary-Em Waddington would propose the following policies that would help our city's most vulnerable who are more severely impacted by #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqvljmroq2s,fvca.bsky.social,2022-09-28,In #Surrey Municipal Council Candidate Mary-Em Waddington would propose the following policies that would help our city to ADAPT to #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqte6hefs2h,fvca.bsky.social,2022-10-15,Today is Voting day in:  #Abbotsford #Chilliwack #Hope #LangleyCity #Surrey #Coquitlam #MapleRidge #PittMeadows #PortMoody #WhiteRock #PortCoquitlam #Aggasiz #HarrisonHotSprings #TownshipOfLangley #Mission  Exercise your Democratic vote We need leaders to act on #climateChange,0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3laqte6krrs2h,fvca.bsky.social,2022-10-15,"@Dempsters Thank you for switching to cardboard ""bread-tags"" from plastic reducing our dependence on petroleum and the pollution it causes.  Thanks for taking this step.  What's next? Will you convert your ovens from methane to clean electricity? fight #climateChange",0
at://did:plc:gwlg46zotsbrsojlael4omx5/app.bsky.feed.post/3lar5nusmzj2b,fvca.bsky.social,2022-09-17,"When #LangleyCity candidates were asked;  ""Should the city prioritize money for climate change  by making #climatechange mitigation and adaptation measures a priority in the budget by allocating funding to these projects?"" Jennifer Elderkin responded: ""Yes""",0
