Tweet_count,Username,Followers Count,text,Created at,Likes,Retweets,Replies,Hashtags,Tweet ID,Place Name,User Location,Jahr,Monat
5,BBC Science News,1821966,"Human-induced climate change has affected global rainfall patterns over the 20th Century, a study suggests. http://tinyurl.com/ys3l23",Mon Jul 23 20:00:01 +0000 2007,0,0,0,,164532062,,"London, England",2007,7
6,New York Times Arts,2598833,Music Review | Live Earth: A Global Chorus on Climate Change http://tinyurl.com/26p9vh,Sun Jul 08 08:30:39 +0000 2007,0,0,0,,139691272,,"New York, NY",2007,7
7,Panda,104555,Panda News: CLIMATE CHANGE: Pop Stars Belt Out Global Wake-Up Call - Inter Press Service (subscr.. http://tinyurl.com/ysfy3a,Mon Jul 09 16:35:32 +0000 2007,0,0,0,,141624542,,China,2007,7
8,ABC News,2597340,Govt climate change initiatives a 'PR exercise': Greenpeace says the Federal Government's global initiati.. http://tinyurl.com/2ffrzd,Sat Jul 21 21:04:35 +0000 2007,0,0,0,,161543792,,Australia,2007,7
9,Fast Company,2238863,CNN/YouTube Debate: Climate Change: A global warming question was asked by a YouTube snowman characte.. http://tinyurl.com/yo4tez,Tue Jul 24 01:05:03 +0000 2007,0,0,0,,164934862,,"New York, NY",2007,7
10,lelak,612,"Wondering how many people will think the Sydney cold a demonstration that global warming is a myth: Climate Change, guys.",Tue Jul 17 22:01:07 +0000 2007,0,0,0,,154763142,,"Saskatoon, Saskatchewan",2007,7
11,Joel Longtine,1033,Just got done with an article about global climate change. Hard problem... Maybe we're all screwed. Maybe we're not.,Thu Jul 05 22:36:22 +0000 2007,0,0,0,,136240082,,"Boulder, CO",2007,7
12,Global Voices,82720,Yemen: Arabs Oblivious to Climate Change: The Arab world seems to be oblivious of climate change and.. http://tinyurl.com/2wwnxh,Thu Jul 05 04:01:49 +0000 2007,0,0,0,,134967412,,World,2007,7
13,BBC News (World),41194963,"Sydney is set to be the first city to hold a Live Earth concert, a global event highlighting climate change. http://tinyurl.com/2ecx86",Fri Jul 06 23:00:23 +0000 2007,0,0,0,,137883812,,"London, UK",2007,7
14,BBC News (World),41194963,"Human-induced climate change has affected global rainfall patterns over the 20th Century, a study suggests. http://tinyurl.com/36gxje",Mon Jul 23 20:00:19 +0000 2007,0,0,0,,164532832,,"London, UK",2007,7
15,Jen Simmons,109384,the UK is underwater? Why has this not been in our news?? global fuckin climate change hits again. And only John Stewart is telling us.,Sat Jul 28 16:35:03 +0000 2007,0,0,0,,173259612,,,2007,7
16,BBC News (UK),15403962,"Sydney is set to be the first city to hold a Live Earth concert, a global event highlighting climate change. http://tinyurl.com/32sd8k",Fri Jul 06 23:00:01 +0000 2007,0,0,0,,137883182,,London,2007,7
17,BBC News (UK),15403962,"Human-induced climate change has affected global rainfall patterns over the 20th Century, a study suggests. http://tinyurl.com/ys3l23",Mon Jul 23 20:19:56 +0000 2007,0,0,0,,164560362,,London,2007,7
18,JapanNewsFeeds,1045,CBC North  Global Live Earth rocks for climate change Cherry Hill Courier Post - 1 hour ago ANTHONY HARVEY/AP AP file By EDNA GUNDERSEN Al G,Sat Jul 07 09:03:43 +0000 2007,0,0,0,,138433702,,Japan,2007,7
